Пландиште	48344	35531	46127	33615	47415	34628	51170	37793	47201	34444	48335	35239	48091	35121	47377	34566	46710	34124	48641	35785	50079	37043	48403	35358
Јужнобачка област	54110	39263	69233	50161	70656	51696	74915	54426	65442	47541	72580	53054	70054	50900	68652	49748	69758	50549	67616	49401	69907	50868	85389	62010
Бач	41435	30068	45404	33001	43700	31803	45462	33048	44044	32059	46454	33742	46058	33460	44467	32335	45695	33193	46262	33640	46733	33958	48920	35621
Бачка Паланка	53462	38093	69404	50221	87171	67246	73797	53617	61877	45014	65659	47593	77282	56768	64239	46663	65190	47284	67745	49045	63871	46214	72571	52377
Бачки Петровац	34755	25368	43926	31722	45101	32916	54060	39023	35364	25397	44618	32231	44387	32067	34958	25271	44583	32192	44902	32421	47095	34096	49264	35560
Беочин	53908	39081	69368	50319	91018	68500	66098	47971	61505	44689	69387	49980	63118	45674	56117	40785	64007	46487	60221	43676	62865	45388	74911	54161
Бечеј	50687	36520	54685	39504	54748	39598	57019	41192	54328	39267	57873	41755	54275	39192	54292	39285	56372	40764	56880	41080	55539	40167	60641	43793
Жабаљ	49885	36142	52801	38347	51124	37510	53777	39018	49385	35397	53349	38700	54692	40079	52703	38264	54230	39358	54761	39815	56459	41050	57491	41698
Град Нови Сад	56037	40754	73863	53532	73528	53461	81045	58916	69538	50536	78392	57476	74138	53834	73720	53406	74930	54298	71686	52519	75204	54799	94513	68710
Нови Сад	57021	41475	74611	54083	74268	54010	82032	59646	70113	50962	79286	58159	74937	54423	74434	53929	75688	54854	72392	53061	75984	55383	96072	69855
Петроварадин	33803	24478	57050	41172	56981	41197	58947	42566	56614	40958	58346	42141	56200	40610	57582	41587	57936	41838	55802	40334	57766	41726	59643	43094
Србобран	39810	28900	49956	36187	48518	35193	52319	37847	47298	34289	50797	36767	51363	37192	49029	35550	52295	37858	47130	34122	50298	36566	58074	41996
Сремски Карловци	47412	34204	54565	39430	53296	38532	44234	32099	61221	44178	55259	40108	54160	39210	53950	39068	55610	40253	53919	39020	54438	39431	60626	43722
Темерин	46995	34061	50390	36639	51804	37563	53055	38566	53229	38903	56879	41447	54583	39827	55545	40589	52120	37843	51603	37600	51613	37524	56041	40520
Тител	40975	29766	46147	33498	45454	32955	47118	34134	45414	32952	48451	35128	44946	32290	45371	32928	48945	35469	46623	33792	47266	34246	53554	38968
Врбас	50636	36754	55720	40235	55003	39831	55619	40235	57309	41556	56928	41076	55507	40077	59043	42591	55870	40425	57084	41382	57663	41786	63643	46222
Севернобанатска област	49653	35920	53689	38797	54572	39542	58766	42513	56677	41035	60105	43531	58403	42313	58519	42340	58275	42136	57353	41496	58728	42463	68244	49320
Ада	51952	37443	57955	41824	58713	42350	60706	43756	57032	41154	62430	44968	60338	43502	58652	42309	60002	43240	61621	44425	63188	45639	66052	47637
Кањижа	52747	38287	61462	44652	58600	42561	62146	44888	61844	44936	67164	49089	61923	44919	72036	52172	64059	46547	61038	44147	62686	45380	79891	57667
Кикинда	50182	36282	53280	38469	54132	39173	59047	42701	56978	41214	60637	43802	58271	42286	57010	41201	57691	41670	57102	41257	57614	41607	65347	47246
Нови Кнежевац	51892	37199	58023	41744	57600	41638	58402	42044	58266	42124	61260	44128	59707	43004	59237	42706	59788	43002	60061	43297	60573	43650	67701	48752
Сента	45610	33105	47356	34190	51343	37359	56955	41413	53748	38970	55458	40326	57010	41308	54821	39813	56041	40574	54567	39707	57210	41478	70130	50743
Чока	46362	33618	49911	36180	49667	36007	51920	37569	50186	36362	50849	36710	51012	36924	50062	36285	52212	37818	50070	36293	53117	38462	58764	42621
Севернобачка област	54423	39495	59106	42742	58761	42730	62441	45184	59223	42788	63279	45650	61368	44392	58807	42523	60003	43350	58356	42185	59562	43040	68092	49194
Бачка Топола	50112	36186	58049	41901	55804	40319	57573	41570	54991	39720	56481	40793	55277	39943	53344	38558	55226	39918	54374	39321	55434	40066	57096	41231
Мали Иђош	41757	30405	45042	32789	44594	32522	45704	33226	44600	32389	47206	34318	47030	34192	46852	34066	46498	33826	46008	33467	46808	33993	47846	34768
Суботица	55884	40589	59973	43374	60076	43737	64299	46541	60832	43944	65501	47231	63347	45823	60563	43786	61670	44539	59813	43225	61072	44121	71383	51565
Средњобанатска област	52320	37812	58760	42409	58647	42338	61246	44273	60008	43364	60564	43641	60282	43456	59863	43154	60239	43453	59636	43009	59315	42767	65622	47309
Житиште	46110	33266	54509	39443	55104	39843	56568	40827	54212	39099	56425	40540	53181	38358	55267	39867	54259	39193	56452	40816	56788	40951	63896	46227
Зрењанин	55522	40111	61886	44614	61180	44128	64229	46418	63198	45652	63235	45539	63410	45662	62869	45276	62911	45355	62446	44995	61748	44506	67424	48581
Нова Црња	51299	37083	54777	39553	54133	39113	55891	40317	52594	38050	59225	42717	54889	39608	51257	37030	56943	41084	53474	38650	54622	39446	56941	40896
Нови Бечеј	40382	29301	44432	32335	48656	35321	48595	35282	47904	34754	48013	34826	46443	33626	47258	34318	48635	35207	45849	33249	47378	34193	55803	40370
Сечањ	35776	25937	47257	34230	46721	33863	49024	35492	47219	34209	49056	35460	49905	36396	48253	34934	49259	35637	48593	35166	47569	34433	61430	44383
Сремска област	47359	34376	56921	41227	57579	41830	63306	46121	55240	40023	61611	44700	57629	41788	59423	43107	58431	42380	57496	41708	58538	42476	71088	51571
Инђија	52784	38383	58419	42327	58257	42360	61100	44324	55752	40466	61724	44809	58065	42170	58732	42701	58159	42235	55663	40512	57146	41455	68290	49628
Ириг	38297	27839	45317	32636	49651	36368	50696	36839	47865	34762	51072	36987	51370	37230	49816	36176	51356	37221	47789	34640	57826	41899	62840	45518
Пећинци	58901	42967	70390	50873	67292	48959	86122	63806	73313	52709	77091	55993	66830	48533	75018	54236	70572	51176	71546	51859	73044	52829	85432	61870
Рума	45111	32631	52793	38229	51649	37462	54340	39428	51182	37143	53496	38572	52424	37965	53869	39159	53995	39121	51975	37680	52993	38410	59363	42895
Сремска Митровица	45980	33263	61206	44338	62906	45551	67711	49405	60732	43965	63655	46001	63486	45864	63198	45734	63525	45905	61864	44719	62664	45413	78587	56866
Стара Пазова	43725	31823	50408	36570	53441	39041	59046	42886	48183	35004	61312	44851	52031	37947	56583	41144	51765	37740	54331	39588	53800	39213	70342	51365
Шид	46419	33669	56631	40964	55414	40002	64572	46888	49581	35879	58887	42580	57379	41402	55185	39914	60697	43972	56233	40581	59377	43039	66560	48027
СРБИЈА – ЈУГ	50313	36460	55518	40165	54992	39864	57550	41689	55361	40102	57932	41891	56741	41028	55374	40080	56877	41155	55553	40228	56230	40696	61370	44399
Регион Шумадије и Западне Србије	49773	36189	54181	39274	54212	39363	56346	40923	54150	39271	56603	41028	55472	40233	54548	39539	55665	40384	54556	39579	55155	39999	61319	44444
Златиборска област	56417	41371	56050	40551	55586	40233	59461	43049	55220	40030	57678	41763	55724	40359	56407	40791	56774	41067	56389	40767	57063	41319	62415	45169
Ариље	38251	27979	41067	29962	45511	33154	46229	33750	39250	27956	45948	33434	42471	31103	44228	32222	48498	35247	43892	32007	44121	32157	50853	37145
Бајина Башта	53925	39648	50995	36944	51212	37123	51443	37300	50937	36869	53481	38829	49078	35423	52683	38507	53079	38521	50434	36603	53083	38363	54724	39623
Косјерић	51560	37351	82567	59474	83936	60698	72974	52707	68198	51365	59082	43182	71166	51560	78619	56381	57546	41619	67682	48763	75653	54454	87823	63380
Нова Варош	44139	31988	47259	34245	46457	33669	49900	36138	49141	35608	50432	36462	49388	35774	49681	35974	49346	35711	47040	33804	50587	36906	51880	37580
Пожега	40447	29474	48584	35371	50159	36541	50497	36764	45643	33526	53855	39756	42943	31301	49092	35742	46823	33898	47934	34977	44617	32520	52661	37949
Прибој	44004	32133	45025	32903	45362	33142	46654	34053	46160	33707	45882	33488	46375	33848	45694	33360	46250	33765	45611	33289	46160	33676	48374	35253
Пријепоље	41979	30595	44519	32369	46530	33892	46800	34045	46175	33610	46291	33584	45215	33018	46027	33390	45823	33341	45834	33473	44410	32368	50091	36527
Сјеница	98647	78467	53447	38681	51251	36811	52685	38087	50736	36719	53730	38824	51855	37502	51024	36857	53265	38499	52034	37647	50939	36829	53997	39142
Град Ужице	63916	46062	65481	47200	63368	45710	71796	51800	64888	46812	67612	48677	66472	47925	65357	47099	67278	48508	67104	48229	68147	49145	73703	53171
Ужице	55917	40305	64197	46253	61899	44617	70209	50680	63375	45663	65636	47241	63263	45576	63832	45974	65497	47151	64325	46325	66147	47564	73283	52706
Севојно	92976	66981	70303	50753	68935	49853	77767	56013	70580	51134	75063	54089	78571	56780	71098	51329	73903	53554	77439	55310	75656	55079	75285	54921
Чајетина	51399	37562	50859	36829	48136	34953	53637	38955	53892	39335	53165	38528	52289	38188	52486	37700	51106	37062	51998	37969	53650	39180	60582	44111
Колубарска област	50937	36698	56633	40875	56232	40621	58053	41891	56568	40918	58640	42346	60308	43596	55816	40275	58806	42476	57502	41594	58632	42342	64324	46408
Ваљево	48803	35167	55198	39832	53691	38799	56663	40882	55345	40005	57654	41642	60588	43739	53117	38251	58022	41897	56666	40918	57962	41817	65087	46895
Лајковац	83676	59802	90902	64922	95394	68081	91243	65165	92575	66095	92195	65850	89845	64194	94544	67486	90134	64389	87548	62585	88770	63447	88676	63363
Љиг	39879	29057	43288	31653	43370	31692	40323	30747	41966	32277	43451	33058	43529	33353	43142	33068	43019	32879	43273	33314	44002	33676	47235	35964
Мионица	47253	34260	47838	34765	48585	35312	48554	35232	47906	34801	49545	35998	48712	35420	48734	35392	49579	36016	49114	35663	50337	36574	50722	36843
Осечина	38446	28084	47732	34623	45393	33008	58346	42211	39585	28122	47584	34455	47891	34694	54153	39246	55042	39871	51395	37252	52663	38178	68946	49749
Уб	41280	29827	43167	31589	46104	33753	45186	32568	44440	32610	45523	32777	45319	33089	44654	32579	44799	32352	44944	32930	45133	32683	46757	33986
Мачванска област	43497	31508	51756	37470	52216	37944	52492	38131	52467	38139	54994	39857	54724	39798	50545	36708	53438	39010	52841	38408	52576	38099	60793	44213
Богатић	39962	29401	45729	33276	45408	33148	48292	35574	46376	34191	47655	35004	47723	35144	47322	34869	47738	35157	46868	34531	47567	34993	51457	37902
Владимирци	37912	27658	37528	27393	45128	33123	41431	30180	41930	30491	44494	32382	44487	32438	43468	31651	42841	31209	43503	31722	44382	32330	50802	37023
Коцељева	48596	35482	51037	37080	54264	39887	53294	39098	53193	39177	54471	40054	55635	41273	54971	40273	55127	40703	51943	38065	52190	38174	65040	47808
Крупањ	38648	28355	41401	30274	38510	28198	39838	29147	39430	28903	40952	30027	39423	28936	38662	28318	41024	30030	40694	29795	39900	29199	40341	29457
Лозница	36042	26149	46799	33985	46786	34032	47923	34899	48333	35187	48946	35638	55046	40021	40479	29540	48559	35493	48695	35549	47986	34985	59306	43276
Љубовија	44001	31871	55705	40264	53535	38707	56054	40484	53611	38779	55241	39904	57487	41540	49876	36146	58511	42240	55214	39927	55287	39934	64337	46382
Мали Зворник	40033	28982	46348	33593	49709	36028	52097	37825	51770	37551	48955	35524	50887	37034	53191	38672	51876	37874	49299	35932	49606	36147	55774	40525
Шабац	48453	34974	56950	41113	57368	41591	56966	41254	57115	41403	61421	44301	57179	41468	57473	41559	58027	42310	57568	41674	57225	41231	64500	46762
Моравичка област	49766	36094	55914	40453	55322	40224	58194	42266	54787	39828	60334	43770	57297	41566	56450	41028	58765	42668	56769	41200	58166	42216	66419	48138
Горњи Милановац	47131	34042	57735	41560	56710	40986	62483	45165	56060	40590	70109	50547	61250	44194	55733	40244	63499	45997	58645	42341	61551	44598	75135	54277
Ивањица	34665	25191	42558	30976	47906	34792	49258	35830	43053	31307	47346	34370	48361	35157	46250	33629	45523	33130	46546	33827	47029	34170	56863	41375
Лучани	68080	48780	68324	49035	68163	48957	73850	52993	69458	49805	74538	53456	75087	53814	78957	56565	79149	56715	79255	56736	79789	57008	88798	63437
Чачак	51103	37200	55899	40553	54283	39670	55826	40722	54411	39722	56725	41369	54788	39928	55455	40526	56483	41149	54758	39934	55854	40690	61561	44788
Поморавска област	46714	33802	50358	36302	50304	36479	54879	39873	50907	36784	52995	38288	51581	37366	50543	36515	52380	37984	51215	37190	51445	37223	55178	39967
Деспотовац	55952	39205	58205	40804	60750	42673	61383	42957	58305	40889	60044	41999	60666	42519	59238	41616	60918	42710	59303	41595	59147	41448	61593	43183
Параћин	45232	32968	51999	37338	50168	36605	63592	46725	51180	37048	57899	41941	51646	37801	52023	37578	54103	39480	51880	37979	52247	37535	67940	49336
Рековац	48445	35063	46405	33436	47153	34058	48869	35449	47385	34332	47838	34824	48000	34844	47702	34262	48667	35232	47694	34569	48024	34884	47590	34453
